"FullName","Extension","Length","LastWriteTime"
"C:\eva-foundry\07-foundation-layer\SESSION-38-TASK1-COMPLETION.md",".md","4890","3/7/2026 5:08:54 PM"
"C:\eva-foundry\07-foundation-layer\STATUS.md",".md","38383","3/10/2026 10:23:49 AM"
"C:\eva-foundry\07-foundation-layer\UNIFIED-DATAMODEL-WORKFLOW.md",".md","26151","3/7/2026 4:44:25 PM"
"C:\eva-foundry\07-foundation-layer\VERITAS-SCAFFOLDING-INTEGRATION.md",".md","17765","3/7/2026 4:18:37 PM"
"C:\eva-foundry\07-foundation-layer\.archive\analyze_endpoints.ps1",".ps1","3282","3/5/2026 12:44:41 PM"
"C:\eva-foundry\07-foundation-layer\.archive\CLOUD-ENDPOINT-TIMEOUT-INVESTIGATION.md",".md","6275","3/5/2026 1:34:00 PM"
"C:\eva-foundry\07-foundation-layer\.archive\ENDPOINT-VERIFICATION-COMPLETE.md",".md","5006","3/6/2026 7:03:59 PM"
"C:\eva-foundry\07-foundation-layer\.archive\IMPLEMENTATION-COMPLETE-v1.5.2.md",".md","14646","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\MANIFEST.md",".md","1746","3/7/2026 10:27:07 AM"
"C:\eva-foundry\07-foundation-layer\.archive\PHASE-3-IMPLEMENTATION-COMPLETE.md",".md","19981","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\PREVIEW-Project14.md",".md","7448","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\PROJECT7-VALUE-TO-AI-AGENTS.md",".md","17206","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\test-output.txt",".txt","1880","3/10/2026 10:23:48 AM"
"C:\eva-foundry\07-foundation-layer\.archive\v1.3.0-IMPLEMENTATION-SUMMARY.md",".md","14428","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\verify_endpoints.ps1",".ps1","1858","3/6/2026 7:03:59 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\.coveragerc",".coveragerc","1028","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\.env.example",".example","358","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\evidence.py",".py","14189","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\generate-docs.py",".py","22663","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\generate.ps1",".ps1","5492","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\preflight-check.ps1",".ps1","8031","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\pytest.ini",".ini","713","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\QUICKSTART.md",".md","5702","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\README.md",".md","2888","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\requirements.txt",".txt","265","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\run-tests.ps1",".ps1","2413","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\test_generator_OLD.py",".py","11074","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\test_generator.py",".py","10997","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\01-discovery-automation\validators.py",".py","4435","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\03-development-scaffold\README.md",".md","806","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\04-testing-artifacts\manual-test-workspace-mgmt.ps1",".ps1","11380","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\04-testing-artifacts\README.md",".md","784","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\04-testing-artifacts\test-results-workspace-mgmt-v1.0.0.md",".md","13217","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\04-testing-artifacts\results\housekeeping-dryrun_20260130_175553.txt",".txt","2","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\04-testing-artifacts\results\initialize-dryrun_20260130_175453.txt",".txt","2","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\04-testing-artifacts\results\initialize-dryrun_20260130_175553.txt",".txt","2","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\04-testing-artifacts\results\project-folder-picture_20260130_175553.md",".md","4807","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\05-implementation-scaffold\README.md",".md","2660","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\05-implementation-scaffold\archive\copilot-instructions-ORIGINAL-20260129.md",".md","46553","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\15-cdc\sessions\artifact-deployment\session_state.json",".json","278","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\15-cdc\sessions\artifact-deployment\checkpoints\checkpoint_analysis_complete_20260202_115337.json",".json","281","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\15-cdc\sessions\artifact-deployment\checkpoints\checkpoint_paths_validated_20260202_115337.json",".json","276","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\15-cdc\sessions\artifact-deployment\checkpoints\checkpoint_source_validated_20260202_115337.json",".json","437","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\old-backups\Apply-Project07-Artifacts-v1.4.1.ps1",".ps1","4346","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\old-backups\Apply-Project07-Artifacts.ps1.backup_20260202_115209",".backup_20260202_115209","50157","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\old-backups\enhanced-find-function.txt",".txt","3072","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\old-backups\Test-Project07-Deployment.ps1.backup_20260202_115209",".backup_20260202_115209","27778","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.archive\session-37\INSTRUCTION-QUALITY-ASSESSMENT.md",".md","14301","3/10/2026 10:11:00 AM"
"C:\eva-foundry\07-foundation-layer\.archive\session-37\PROPOSED-INSTRUCTION-CHANGES.md",".md","17624","3/10/2026 10:11:00 AM"
"C:\eva-foundry\07-foundation-layer\.archive\session-37\SESSION-37-COMPLETION-STATUS.md",".md","9371","3/10/2026 10:23:48 AM"
"C:\eva-foundry\07-foundation-layer\.archive\session-37\SESSION-37-REPRIMING-GUIDE.md",".md","11094","3/10/2026 10:23:48 AM"
"C:\eva-foundry\07-foundation-layer\.archive\session-37\SESSION-37-UPDATE-SUMMARY.md",".md","4745","3/10/2026 10:23:48 AM"
"C:\eva-foundry\07-foundation-layer\.archive\templates\PROJECT-COPILOT-INSTRUCTIONS-TEMPLATE_v3.5.0_20260310-105852.md",".md","7803","3/10/2026 10:23:48 AM"
"C:\eva-foundry\07-foundation-layer\.eva\badge.json",".json","82","3/7/2026 8:46:19 PM"
"C:\eva-foundry\07-foundation-layer\.eva\badge.svg",".svg","817","3/7/2026 8:46:19 PM"
"C:\eva-foundry\07-foundation-layer\.eva\discovery.json",".json","69444","3/10/2026 10:29:49 AM"
"C:\eva-foundry\07-foundation-layer\.eva\export-to-model-evidence.json",".json","712","3/10/2026 10:29:49 AM"
"C:\eva-foundry\07-foundation-layer\.eva\model-export.json",".json","32863","3/10/2026 10:29:49 AM"
"C:\eva-foundry\07-foundation-layer\.eva\prime-evidence.json",".json","360","3/5/2026 12:46:29 PM"
"C:\eva-foundry\07-foundation-layer\.eva\reconciliation.json",".json","2518","3/10/2026 10:29:49 AM"
"C:\eva-foundry\07-foundation-layer\.eva\sweep4-inventory.csv",".csv","0","3/10/2026 11:49:42 AM"
"C:\eva-foundry\07-foundation-layer\.eva\trust-history.json",".json","740","3/7/2026 8:46:19 PM"
"C:\eva-foundry\07-foundation-layer\.eva\trust.json",".json","650","3/10/2026 10:29:49 AM"
"C:\eva-foundry\07-foundation-layer\.eva\trust.prev.json",".json","569","3/10/2026 10:29:49 AM"
"C:\eva-foundry\07-foundation-layer\.eva\upload-results.json",".json","13232","3/10/2026 10:29:49 AM"
"C:\eva-foundry\07-foundation-layer\.eva\veritas-plan.json",".json","31740","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\.github\copilot-instructions.md",".md","31691","3/10/2026 11:32:24 AM"
"C:\eva-foundry\07-foundation-layer\.github\copilot-skills\00-skill-index.skill.md",".md","3834","3/10/2026 11:32:24 AM"
"C:\eva-foundry\07-foundation-layer\.github\copilot-skills\ado-dashboard-admin.skill.md",".md","17726","3/7/2026 4:18:37 PM"
"C:\eva-foundry\07-foundation-layer\.github\copilot-skills\ado-integration.skill.md",".md","16268","3/10/2026 10:23:48 AM"
"C:\eva-foundry\07-foundation-layer\.github\copilot-skills\control-plane-runtime.skill.md",".md","17987","3/7/2026 4:18:37 PM"
"C:\eva-foundry\07-foundation-layer\.github\copilot-skills\data-model-admin.skill.md",".md","17206","3/10/2026 10:23:48 AM"
"C:\eva-foundry\07-foundation-layer\.github\copilot-skills\foundation-expert.skill.md",".md","10154","3/10/2026 10:23:48 AM"
"C:\eva-foundry\07-foundation-layer\.github\copilot-skills\red-teaming-integration.skill.md",".md","11369","3/10/2026 10:23:48 AM"
"C:\eva-foundry\07-foundation-layer\.github\copilot-skills\universal-command-wrapper.skill.md",".md","9846","3/10/2026 10:23:48 AM"
"C:\eva-foundry\07-foundation-layer\.github\copilot-skills\veritas-admin.skill.md",".md","18189","3/10/2026 10:23:48 AM"
"C:\eva-foundry\07-foundation-layer\.github\discussion_templates\sprint-planning.yml",".yml","758","3/3/2026 4:28:10 PM"
"C:\eva-foundry\07-foundation-layer\.github\workflows\discussion-bot-agent.yml",".yml","1626","3/3/2026 4:28:10 PM"
"C:\eva-foundry\07-foundation-layer\.venv\pyvenv.cfg",".cfg","351","3/3/2026 2:50:10 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\_cffi_backend.cp311-win_amd64.pyd",".pyd","178688","3/3/2026 2:50:44 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\a1_coverage.pth",".pth","206","3/3/2026 3:01:11 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\distutils-precedence.pth",".pth","151","3/3/2026 2:50:13 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\jsonpatch.py",".py","29778","3/3/2026 3:01:12 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\jsonpointer.py",".py","10601","3/3/2026 3:01:10 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\py.py",".py","263","3/6/2026 6:24:45 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\pythoncom.py",".py","143","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\PyWin32.chm",".chm","2645760","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\pywin32.pth",".pth","185","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\pywin32.version.txt",".txt","5","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\typing_extensions.py",".py","160429","3/3/2026 2:50:43 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\ujson.cp311-win_amd64.pyd",".pyd","72192","3/6/2026 6:24:44 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\__init__.py",".py","2731","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\ado_consts.py",".py","9873","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\adodbapi.py",".py","48942","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\apibase.py",".py","27130","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\is64bit.py",".py","1025","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\license.txt",".txt","26925","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\process_connect_string.py",".py","5420","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\readme.txt",".txt","4782","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\schema_table.py",".py","438","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\setup.py",".py","2194","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\examples\db_print.py",".py","2288","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\examples\db_table_names.py",".py","526","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\examples\xls_read.py",".py","1131","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\examples\xls_write.py",".py","1463","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\examples\__pycache__\db_print.cpython-311.pyc",".pyc","3346","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\examples\__pycache__\db_table_names.cpython-311.pyc",".pyc","991","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\examples\__pycache__\xls_read.cpython-311.pyc",".pyc","1849","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\examples\__pycache__\xls_write.cpython-311.pyc",".pyc","2205","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\adodbapitest.py",".py","56196","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\adodbapitestconfig.py",".py","6517","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\dbapi20.py",".py","33349","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\is64bit.py",".py","1013","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\setuptestframework.py",".py","3017","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\test_adodbapi_dbapi20.py",".py","5948","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\tryconnection.py",".py","1027","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\__pycache__\adodbapitest.cpython-311.pyc",".pyc","80295","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\__pycache__\adodbapitestconfig.cpython-311.pyc",".pyc","5948","3/3/2026 2:50:41 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\__pycache__\dbapi20.cpython-311.pyc",".pyc","43419","3/3/2026 2:50:41 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\__pycache__\is64bit.cpython-311.pyc",".pyc","1509","3/3/2026 2:50:41 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\__pycache__\setuptestframework.cpython-311.pyc",".pyc","4838","3/3/2026 2:50:41 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\__pycache__\test_adodbapi_dbapi20.cpython-311.pyc",".pyc","8694","3/3/2026 2:50:41 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\test\__pycache__\tryconnection.cpython-311.pyc",".pyc","1671","3/3/2026 2:50:41 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\__pycache__\__init__.cpython-311.pyc",".pyc","3675","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\__pycache__\ado_consts.cpython-311.pyc",".pyc","6788","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\__pycache__\adodbapi.cpython-311.pyc",".pyc","51934","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\__pycache__\apibase.cpython-311.pyc",".pyc","30724","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\__pycache__\is64bit.cpython-311.pyc",".pyc","1533","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\__pycache__\process_connect_string.cpython-311.pyc",".pyc","5293","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\__pycache__\schema_table.cpython-311.pyc",".pyc","952","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\adodbapi\__pycache__\setup.cpython-311.pyc",".pyc","2846","3/3/2026 2:50:40 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs\__init__.py",".py","361","3/6/2026 6:24:47 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs\_staggered.py",".py","6900","3/6/2026 6:24:47 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs\impl.py",".py","9681","3/6/2026 6:24:47 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs\py.typed",".typed","0","3/6/2026 6:24:47 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs\types.py",".py","425","3/6/2026 6:24:47 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs\utils.py",".py","3028","3/6/2026 6:24:47 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs\__pycache__\__init__.cpython-311.pyc",".pyc","670","3/10/2026 10:26:51 AM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs\__pycache__\_staggered.cpython-311.pyc",".pyc","10728","3/10/2026 10:26:51 AM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs\__pycache__\impl.cpython-311.pyc",".pyc","14402","3/10/2026 10:26:51 AM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs\__pycache__\types.cpython-311.pyc",".pyc","762","3/10/2026 10:26:51 AM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs\__pycache__\utils.cpython-311.pyc",".pyc","5190","3/10/2026 10:26:51 AM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs-2.6.1.dist-info\INSTALLER","","4","3/6/2026 6:24:47 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs-2.6.1.dist-info\LICENSE","","13936","3/6/2026 6:24:47 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs-2.6.1.dist-info\METADATA","","5915","3/6/2026 6:24:47 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs-2.6.1.dist-info\RECORD","","1209","3/6/2026 6:24:47 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohappyeyeballs-2.6.1.dist-info\WHEEL","","88","3/6/2026 6:24:47 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\__init__.py",".py","8019","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\_cparser.pxd",".pxd","4476","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\_find_header.pxd",".pxd","70","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\_headers.pxi",".pxi","2090","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\_helpers.cp311-win_amd64.pyd",".pyd","51712","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\_helpers.pyi",".pyi","208","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\_helpers.pyx",".pyx","1041","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\_http_parser.cp311-win_amd64.pyd",".pyd","266240","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\_http_parser.pyx",".pyx","29236","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\_http_writer.cp311-win_amd64.pyd",".pyd","47616","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\_http_writer.pyx",".pyx","4708","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\_websocket.cp311-win_amd64.pyd",".pyd","36864","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\_websocket.pyx",".pyx","1617","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\abc.py",".py","6331","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\base_protocol.py",".py","3036","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\client_exceptions.py",".py","11576","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\client_proto.py",".py","10800","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\client_reqrep.py",".py","45322","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\client_ws.py",".py","14528","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\client.py",".py","54073","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\compression_utils.py",".py","5854","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\connector.py",".py","61055","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\cookiejar.py",".py","17641","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\formdata.py",".py","6703","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\hdrs.py",".py","4721","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\helpers.py",".py","32958","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\http_exceptions.py",".py","2820","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\http_parser.py",".py","37901","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\http_websocket.py",".py","28610","3/6/2026 6:24:51 PM"
"C:\eva-foundry\07-foundation-layer\.venv\Lib\site-packages\aiohttp\http_writer.py",".py","6174","3/6/2026 6:24:51 PM"
